,AGE,SEX,POP,RACE,us,agecat,agecat2,agecat3,agecat4,agecat5
1345,10,1,1490759,1,1,"(-0.1, 18.0]","(-0.1, 75.0]","(-0.1, 65.0]","(-0.1, 55.0]","(-0.1, 35.0]"
1346,10,1,313808,2,1,"(-0.1, 18.0]","(-0.1, 75.0]","(-0.1, 65.0]","(-0.1, 55.0]","(-0.1, 35.0]"
1347,10,1,33000,3,1,"(-0.1, 18.0]","(-0.1, 75.0]","(-0.1, 65.0]","(-0.1, 55.0]","(-0.1, 35.0]"
1348,10,1,110831,4,1,"(-0.1, 18.0]","(-0.1, 75.0]","(-0.1, 65.0]","(-0.1, 55.0]","(-0.1, 35.0]"
1349,10,1,6189,5,1,"(-0.1, 18.0]","(-0.1, 75.0]","(-0.1, 65.0]","(-0.1, 55.0]","(-0.1, 35.0]"
1350,10,1,117191,6,1,"(-0.1, 18.0]","(-0.1, 75.0]","(-0.1, 65.0]","(-0.1, 55.0]","(-0.1, 35.0]"
1351,10,1,1598313,7,1,"(-0.1, 18.0]","(-0.1, 75.0]","(-0.1, 65.0]","(-0.1, 55.0]","(-0.1, 35.0]"
1352,10,1,376796,8,1,"(-0.1, 18.0]","(-0.1, 75.0]","(-0.1, 65.0]","(-0.1, 55.0]","(-0.1, 35.0]"
1353,10,1,56998,9,1,"(-0.1, 18.0]","(-0.1, 75.0]","(-0.1, 65.0]","(-0.1, 55.0]","(-0.1, 35.0]"
1354,10,1,153666,10,1,"(-0.1, 18.0]","(-0.1, 75.0]","(-0.1, 65.0]","(-0.1, 55.0]","(-0.1, 35.0]"
1355,10,1,14512,11,1,"(-0.1, 18.0]","(-0.1, 75.0]","(-0.1, 65.0]","(-0.1, 55.0]","(-0.1, 35.0]"
1356,11,1,2138037,0,1,"(-0.1, 18.0]","(-0.1, 75.0]","(-0.1, 65.0]","(-0.1, 55.0]","(-0.1, 35.0]"
1357,11,1,1541354,1,1,"(-0.1, 18.0]","(-0.1, 75.0]","(-0.1, 65.0]","(-0.1, 55.0]","(-0.1, 35.0]"
1358,11,1,323720,2,1,"(-0.1, 18.0]","(-0.1, 75.0]","(-0.1, 65.0]","(-0.1, 55.0]","(-0.1, 35.0]"
1359,11,1,34341,3,1,"(-0.1, 18.0]","(-0.1, 75.0]","(-0.1, 65.0]","(-0.1, 55.0]","(-0.1, 35.0]"
1360,11,1,114789,4,1,"(-0.1, 18.0]","(-0.1, 75.0]","(-0.1, 65.0]","(-0.1, 55.0]","(-0.1, 35.0]"
1361,11,1,6435,5,1,"(-0.1, 18.0]","(-0.1, 75.0]","(-0.1, 65.0]","(-0.1, 55.0]","(-0.1, 35.0]"
1362,11,1,117398,6,1,"(-0.1, 18.0]","(-0.1, 75.0]","(-0.1, 65.0]","(-0.1, 55.0]","(-0.1, 35.0]"
1363,11,1,1649024,7,1,"(-0.1, 18.0]","(-0.1, 75.0]","(-0.1, 65.0]","(-0.1, 55.0]","(-0.1, 35.0]"
1364,11,1,386755,8,1,"(-0.1, 18.0]","(-0.1, 75.0]","(-0.1, 65.0]","(-0.1, 55.0]","(-0.1, 35.0]"
